time,value
2019-Q4,100
2020-Q1,98.32
2020-Q2,88.03
2020-Q3,96.39
2020-Q4,97.36
2021-Q1,98.12
2021-Q2,99.76
2021-Q3,100.87
2021-Q4,102.07
2022-Q1,102.29
2022-Q2,102.7
2022-Q3,103.13
2022-Q4,103.58
2023-Q1,103.99
2023-Q2,104.41
2023-Q3,104.82
2023-Q4,105.24
