time,value
2019-Q4,100
2020-Q1,100.4
2020-Q2,100.82
2020-Q3,101.24
2020-Q4,101.68
2021-Q1,102.11
2021-Q2,102.54
2021-Q3,102.99
2021-Q4,103.43
